epoch,w,b,loss
0,0.4057661952286474,-0.0021031075215049984,352.3088632556883
1,0.7443894370190922,-0.0033592607029520457,247.12883600096072
2,1.0269810420301786,-0.00390960469066348,173.87754507314514
3,1.262813541331107,-0.0038719249098953185,122.86178421703555
4,1.4596249766962248,-0.0033445128138737635,87.33109916386523
5,1.6238728396229503,-0.002409391899124246,62.58440012349078
6,1.7609459865799284,-0.0011350098551169679,45.34779701058437
7,1.875341484900068,0.0004215148035969147,33.34131713166195
8,1.9708121928634081,0.002212517895115538,24.977162671463
9,2.050489917099787,0.004198224991153953,19.149573925766816
10,2.116988188963117,0.00634544575651699,15.088487772011273
11,2.1724880326856324,0.00862648435926395,12.257623837131495
12,2.218809539962373,0.01101823019453541,10.283510596783087
13,2.2574715998263164,0.01350139908235902,8.906058379176104
14,2.2897417439672076,0.016059900037850034,7.944137867549032
15,2.316677743266016,0.018680306833126804,7.271608595042921
16,2.339162320616912,0.021351417009207244,6.80062492790071
17,2.3579321192061204,0.024063883865994895,6.470010170660782
18,2.373601876898561,0.026809909353382528,6.237160166610426
19,2.3866846000622015,0.02958298778509077,6.072404877112852
20,2.3976083988737495,0.0323776919647071,5.955081724146084
21,2.4067305365892717,0.03518949470523006,5.870801023353826
22,2.41434915383412,0.03801461988493089,5.809541601889809
23,2.4207130526677427,0.04084991815163705,5.7643245659786295
24,2.426029861506661,0.043692763196428196,5.730289698224911
25,2.43047284885358,0.04654096519276119,5.7040522506570115
26,2.434186609438525,0.0493926985603576,5.683255008408699
27,2.437291809373876,0.05224644168328245,5.666256341996271
28,2.4398891460448766,0.05510092660394342,5.651912963532109
29,2.4420626526871936,0.057955097042118736,5.639428635789144
30,2.443882456097721,0.060808073361324454,5.628248811547868
31,2.4454070779783206,0.06365912333282227,5.6179872592914455
32,2.4466853554356116,0.06650763773782994,5.60837496454139
33,2.4477580436617714,0.06935311000727166,5.599224544191601
34,2.4486591533914694,0.07219511923090523,5.590405464263046
35,2.4494170670262037,0.07503331597823591,5.581826781278093
36,2.450055470053851,0.07786741046590098,5.573425123165349
37,2.4505941283297887,0.08069716268321302,5.565156319030512
38,2.451049536727598,0.08352237415181087,5.55698957003722
39,2.4514354604460884,0.08634288104899361,5.548903389944476
40,2.4517633867366975,0.08915854846906489,5.540882778052197
41,2.4520429018755916,0.09196926563436086,5.5329172504092075
42,2.452282005751538,0.09477494189880091,5.524999468724436
43,2.452487374393373,0.09757550341280832,5.517124285525223
44,2.452664579052416,0.10037089034015245,5.5092880791946195
45,2.4528182690294575,0.10316105453537605,5.501488290883522
46,2.4529523242461293,0.10594595760558667,5.493723102010698
47,2.4530699825676074,0.10872556929300467,5.485991209669716
48,2.453173946054978,0.11149986612518639,5.478291670219335
49,2.4532664696341464,0.11426883028862575,5.47062379035756
50,2.4533494350911424,0.11703244868876769,5.462987051263883
51,2.4534244128221143,0.11979071216558482,5.4553810557705775
52,2.453492713364462,0.12254361483897318,5.447805491571585
53,2.453555430400205,0.12529115356248394,5.440260105600304
54,2.4536134766428246,0.12803332746746254,5.432744686185384
55,2.4536676137852753,0.13077013758263406,5.425259050623324
56,2.4537184774919747,0.13350158651664934,5.417803036523305
57,2.4537665982549224,0.13622767819317264,5.410376495779124
58,2.4538124187983934,0.13894841762981583,5.402979290370592
59,2.4538563086033687,0.14166381075366302,5.395611289439081
60,2.453898576028351,0.14437386424733042,5.388272367250344
61,2.453939478424336,0.14707858542050817,5.380962401775247
62,2.4539792305758814,0.14977798210276708,5.373681273700867
63,2.4540180117452834,0.15247206255411141,5.366428865741238
